"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","","N","2017004096","0","2","","3","12","U","OTHR","2006","","0","","2","00","","000","","","2","02","05","06","11","PA","2","99","",""
"","01","N","2017003329","3","1","","1","03","Y","VOLK","2007","01","1","","1","00","E","999","","","1","01","03","01","03","FL","2","01","3VWFF31Y17M","PCV"
"","15","N","2017024672","1","1","","1","06","Y","HOND","2010","01","4","","1","00","E","000","0","","3","01","05","03","03","PA","2","06","5FNYF4H5XAB","PUT"
"","15","N","2017021833","3","1","","1","11","Y","LINC","2007","01","1","","1","00","S","999","0","","2","01","03","01","01","PA","2","06","2LMDU88C97B","T4W"
"","04","N","2017023783","3","1","","1","00","Y","VOLK","2003","02","1","","1","00","N","999","0","","1","01","12","01","01","PA","0","01","3VWSK69M53M","P4D"
"","04","N","2017003096","1","1","","1","01","Y","KIA","2013","01","2","","1","00","E","999","0","","1","01","05","01","01","PA","2","01","5XXGM4A70DG","P4D"
"","03","N","2017003296","3","1","","1","02","Y","HYUN","2007","01","1","","1","00","E","999","0","","1","01","07","01","01","PA","1","01","KMHCM36C67U","P2H"
"","15","N","2017012379","3","1","","1","12","Y","KIA","2015","01","1","","1","00","S","053","0","","2","01","01","01","01","PA","2","06","KNDJP3A53F7","PUT"
"","04","N","2017003064","3","1","","3","12","U","CHEV","2015","01","1","","4","00","W","999","0","","1","01","12","16","11","PA","1","01","2G1165S38F9","P4D"
"","04","N","2017023068","3","1","","1","12","Y","TOYT","2014","01","2","","1","00","E","999","0","","1","01","12","01","01","PA","1","01","4T1BF1FK4EU","P4D"
"","15","N","2017005642","1","1","","1","06","Y","HOND","2016","01","1","","1","00","S","000","0","","3","01","09","03","01","DE","2","06","2HKRM4H79GH","PUT"
"","04","N","2017003451","3","1","","1","02","Y","VOLK","2011","01","2","","1","00","N","050","0","","1","01","01","01","01","PA","1","01","3VWLX7AJXBM","P4D"
"","15","N","2017003176","1","2","","1","06","Y","GMC","2015","","0","","1","00","W","000","0","","2","02","07","06","01","GA","2","04","2GKFLWE3XF6","T4W"
"","05","N","2017008515","3","1","","1","12","Y","KIA","2005","02","1","","1","00","E","040","0","","1","01","02","01","03","PA","1","01","KNAFE161155","P4H"
"","09","N","2017000795","3","1","","1","12","Y","NISS","2009","02","1","","1","00","N","999","0","","1","01","07","01","01","NY","1","01","1N4AL21E39C",""
"","04","N","2017003128","3","1","","3","12","Y","MAZD","2008","01","1","","3","00","W","999","0","","1","01","05","17","07","PA","1","01","1B3CC4FB8AN","P4D"
"","15","N","2017000213","2","2","","3","01","Y","KIA","2010","","0","","1","00","E","000","0","","2","02","01","06","98","PA","2","06","KNDKG3A46A7","PUT"
"","15","N","2017001907","2","1","","1","06","Y","OTHR","2013","01","1","","1","00","S","020","0","","2","01","05","01","03","NC","2","06","2LMDJ6JK0DB","T4W"
"","04","N","2017000795","3","1","","1","11","Y","CHEV","2014","01","2","","1","00","W","999","0","","2","01","07","01","01","PA","2","01","1G1PE5SB9E7","P4D"
"","73","Y","2017003431","0","1","","1","11","Y","MACK","2015","98","1","","1","00","W","020","0","","1","01","01","01","01","PA","3","05","1M2AU02C9FM","TTB"
"","04","N","2017002144","2","1","","1","06","Y","HOND","2007","02","2","","1","00","N","000","","","2","01","07","03","01","PA","2","01","1HGCM56477A","P4D"
"","41","N","2017002786","2","1","","1","06","Y","GMC","2005","02","2","","1","00","E","040","0","","2","01","03","03","03","PA","2","07","1GTGG25V851","TCG"
"","01","N","2017004469","3","1","","1","06","Y","JAGU","2009","01","1","","1","00","S","000","0","","2","01","05","03","01","PA","3","01","SAJWA44BX95","PCV"
"","04","N","2017001837","3","1","","2","01","Y","MRCU","2004","01","2","","1","00","N","020","0","","2","01","04","01","04","PA","2","01","2MEHM75W54X","P4D"
"","15","N","2017002694","1","1","","1","06","Y","CHEV","2015","01","4","","1","00","U","000","0","","3","01","12","03","09","TX","2","06","1GNKVGKD7FJ","PUT"
"","05","N","2017002410","2","1","","1","12","Y","MAZD","2003","01","1","","1","00","N","999","0","","1","01","02","01","03","PA","1","01","JM1BJ245631","P4H"
"","04","N","2017006988","3","1","","1","11","N","NISS","2007","01","1","","1","00","E","999","0","","1","01","05","01","03","PA","1","01","1N4AL21E77N","P4D"
"","04","N","2017006621","3","1","","1","11","Y","BUIC","2013","02","2","","3","00","E","999","0","","1","01","05","17","06","PA","1","01","1G4PR5SK7D4","P4D"
