"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","04","N","2018028971","3","3","","1","02","Y","FORD","2002","01","1","","1","00","N","025","0","","1","01","08","01","01","PA","1","01","1FAFP55UX2A","P4D"
"","12","N","2018029554","2","1","","1","09","Y","VOLK","2011","01","3","","1","00","S","050","0","","2","01","03","01","01","WV","3","06","2V4RW3DG7BR","PSV"
"","05","N","2018031151","3","4","","2","02","U","HYUN","2004","99","1","","3","00","N","050","0","","1","05","07","17","01","PA","1","01","KMHDN56D24U","P4H"
"","15","N","2018030611","2","1","","2","00","U","JEEP","2017","01","1","","1","00","S","999","0","","1","01","99","13","01","PA","0","06","1C4NJRFB4HD","T4W"
"","02","N","2018030251","1","1","","1","12","Y","NISS","2008","01","1","","2","00","W","010","0","","1","01","01","12","01","PA","1","01","1N4AL24E18C","PCP"
"","15","N","2018031235","3","1","","1","99","Y","MAZD","2016","02","1","","1","00","N","999","0","","5","01","02","01","01","PA","1","01","JM3KE4DY6G0","T4W"
"","04","N","2018031803","3","1","","1","01","Y","SUBA","2015","02","1","","1","00","W","999","0","","1","01","03","01","01","PA","2","01","JF1GJAC64FH","P4D"
"","05","N","2018025984","1","1","","1","11","Y","TOYT","2008","01","1","","1","00","S","999","0","","1","01","07","12","04","PA","1","01","JTDKB20U683","P4H"
"","04","N","2018031648","3","1","","1","11","Y","CHEV","2008","01","1","","4","00","N","055","0","","2","01","01","16","03","PA","1","01","1G1AK58F287","P4D"
"","04","N","2018007498","3","1","","1","07","Y","HYUN","2017","01","2","","1","00","E","060","0","","2","01","02","01","01","PA","3","01","5NPD84LF2HH","P4D"
"","15","N","2018005721","3","1","","2","11","Y","KIA","2011","01","1","","1","00","W","999","0","","1","01","02","98","98","PA","1","01","KNDPCCA29B7","T4W"
"","15","N","2018007527","3","1","","1","12","Y","FORD","2011","02","1","","4","00","N","040","0","","1","01","07","16","03","PA","1","06","1FMHK8F84BG","T4W"
"","41","N","2018002361","3","1","","3","12","Y","FORD","2014","02","1","","1","00","E","020","0","","2","01","03","01","98","NY","1","01","NM0LS7E72E1","TCG"
"","","Y","2018002361","1","1","","3","07","N","PTRB","","98","2","","1","31","E","000","0","","1","01","04","03","98","","2","18","",""
"","04","N","2018002224","2","1","","3","06","Y","VOLV","2017","01","1","","1","00","S","005","0","","2","01","07","02","01","PA","2","01","LYV402HK1HB","P4D"
"","12","N","2018004106","3","1","","1","01","Y","JEEP","2004","01","1","","1","00","E","070","0","","3","01","05","01","04","PA","1","06","1J4FA69S64P","T2W"
"","15","N","2018001575","1","1","","1","06","Y","VOLK","2014","01","1","","1","00","W","999","0","","2","01","02","02","01","PA","2","06","WVGBV3AX8EW","T4W"
"","04","N","2018009733","3","1","","1","11","Y","CHRY","2015","01","1","","1","00","N","999","0","","2","01","07","01","01","PA","2","01","1C3CCCBB9FN","P4D"
"","15","N","2018011445","3","1","","1","01","Y","MAZD","2008","02","1","","1","00","W","025","0","","1","01","04","02","01","PA","1","01","4F2CZ02Z18K","T4W"
"","04","N","2018013100","3","1","","2","01","Y","TOYT","2016","01","1","","1","00","W","050","0","","1","01","04","01","03","PA","1","01","2T1BURHEXGC","P4D"
"","51","N","2018008461","3","1","","3","11","Y","FORD","2013","01","1","","1","00","E","999","0","","1","01","07","10","03","PA","1","04","1FTFX1EF7DF","T4C"
"","19","N","2018013142","3","1","","1","11","Y","NISS","2017","01","2","","1","00","S","000","0","","3","01","12","03","03","PA","2","06","JM3KFBCL4H0",""
"","15","N","2018014156","3","1","","1","02","Y","VOLV","2013","01","3","","1","00","W","055","0","","2","01","05","01","03","PA","3","06","YV4952CY9D1","PUT"
"","04","N","2018011002","3","1","","4","12","Y","KIA","2008","01","1","","1","00","S","035","0","","1","01","07","01","01","PA","1","01","KNAGE123585","P4D"
"","04","N","2018014028","2","2","","1","08","Y","BUIC","2007","","1","","1","00","N","000","0","","2","02","01","06","01","PA","2","01","2G4WD582271","P4D"
"","04","N","2018007645","3","1","","1","12","Y","NISS","2016","01","1","","1","00","N","025","0","","1","01","03","01","01","PA","1","01","3N1AB7AP8GY","P4D"
"","15","N","2018008723","3","1","","3","12","Y","LINC","1998","01","1","","1","00","S","035","","","2","01","05","01","01","PA","1","06","5LMRU27L0WL","T4W"
"","39","Y","2018011461","2","1","","1","05","Y","GILG","2017","01","1","","1","12","E","025","0","","2","01","99","01","99","PA","2","03","15GGD2716H1",""
"","51","N","2018009098","3","1","","3","10","Y","GMC","2005","02","5","","1","00","W","999","0","","2","01","01","12","04","PA","2","04","2GTEK13T651","TCW"
"","15","N","2018010307","3","1","","2","05","Y","NISS","2016","01","1","","1","00","E","000","0","","2","01","01","03","01","PA","3","06","5N1AT2MV7GC","PUT"
"","15","N","2018010307","0","1","","2","12","Y","JEEP","2016","01","1","","1","00","E","000","0","","3","01","05","03","01","PA","2","06","1C4BJWFG7GL","T4W"
"","04","N","2018002836","1","1","","3","06","Y","CHEV","2014","02","1","","2","00","E","999","0","","2","01","02","02","01","PA","2","01","1G1JC5SH7E4","P4D"
"","15","N","2018011145","2","1","","2","12","Y","NISS","2011","01","1","","1","00","S","010","0","","1","01","03","01","01","PA","1","06","JN8AZ1FY8BW","PUT"
"","02","N","2018010328","3","1","","1","99","Y","FORD","2010","02","1","","1","00","E","045","0","","1","01","05","15","06","LA","1","01","1ZVBP8AN8A5","PCP"
"","15","N","2018009642","3","1","","1","10","Y","TOYT","2013","01","1","","1","00","S","030","0","","2","01","12","01","01","PA","3","01","5TDDK3EH2DS","PUT"
"","51","N","2018018403","2","1","","1","01","Y","DODG","2012","01","1","","1","00","S","999","0","","1","01","03","01","01","PA","1","04","1C6RD7HT5CS","TCW"
"","15","N","2018017324","3","1","","1","11","Y","CHEV","2002","01","2","","4","00","S","999","0","","2","01","06","16","01","PA","2","06","2CNBJ13C326","T4W"
"","04","N","2018016687","3","1","","1","02","N","HYUN","2002","01","1","","3","00","W","035","0","","1","01","02","17","01","PA","1","01","KMHDN45D62U","P4D"
"","04","N","2018019378","3","1","","1","03","Y","VOLK","2014","01","1","","1","00","W","050","0","","2","01","11","01","03","ON","3","01","1VWCN7A34EC","P4D"
"","75","Y","2018019481","1","1","","1","03","Y","PTRB","2006","02","1","","1","00","E","999","1","","1","01","03","15","01","PA","1","05","1XP5DB9X56D","TTR"
"","09","N","2018016088","3","1","","5","01","Y","NISS","2009","02","1","","1","00","N","999","0","","1","01","01","02","01","LA","1","01","3N1BC13E69L",""
"","04","N","2018017866","3","1","","1","06","Y","MRCU","2001","02","1","","1","00","S","000","0","","2","01","08","03","01","PA","3","01","1MEHM55S41A","P4D"
"","04","N","2018018785","3","1","","2","12","U","HYUN","2012","02","2","","1","00","N","045","0","","1","01","07","01","01","PA","1","01","KMHDH4AE3CU","P4D"
"","15","N","2018019124","3","1","","1","03","Y","HOND","2013","01","1","","1","00","W","005","0","","1","01","05","12","01","PA","2","06","5J6RM4H71DL","T4W"
"","04","N","2018016328","2","1","","1","03","Y","BUIC","2003","01","1","","1","00","S","999","0","","1","01","12","15","13","PA","1","01","2G4WS52J931","P4D"
"","39","Y","2018017805","1","1","","2","06","Y","GILG","2011","08","1","","1","12","N","999","0","","2","01","01","01","01","PA","2","03","5FYD5YU05BB",""
"","15","N","2018012424","3","1","","1","01","Y","JEEP","2014","01","1","","1","00","W","040","0","","1","01","07","12","07","PA","1","06","1C4RJFAG3EC","T4W"
"","15","N","2018011873","1","1","","1","06","Y","CHEV","2008","01","1","","1","00","E","999","0","","1","01","05","01","06","PA","2","01","3GNFK16358G","T4W"
"","","","2018011999","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","04","N","2018016005","3","1","","1","01","Y","PONT","2009","01","1","","1","00","W","065","0","","1","01","01","01","01","PA","1","01","1G2ZG57B294","P4D"
"","04","N","2018012081","1","1","","1","12","Y","KIA","2016","01","1","","1","00","U","999","0","","2","01","05","01","06","PA","1","01","KNAFK4A61G5","P4D"
"","04","N","2018015177","3","1","","1","03","Y","FORD","2013","01","1","","1","00","N","065","0","","2","01","01","01","01","PA","2","01","1FADP3F21DL","P4D"
"","04","N","2018012699","3","1","","1","12","Y","TOYT","2010","02","1","","1","00","N","055","0","","1","01","01","15","01","PA","1","01","2T1BU4EE8AC","P4D"
"","51","N","2018015254","2","1","","3","06","Y","DODG","2013","01","1","","1","00","E","015","0","","3","01","02","02","03","PA","2","04","1C6RR7FT4DS","T4C"
"","04","N","2018012722","2","1","","2","06","Y","HYUN","2015","01","2","","1","00","E","000","0","","3","01","07","03","01","PA","2","01","KMHDH4AE7FU","P4D"
"","19","N","2018013760","3","1","","1","11","Y","MAZD","2017","02","1","","1","00","S","015","","","1","01","12","12","01","PA","1","06","",""
"","05","N","2018022507","3","1","","1","12","Y","FORD","2013","01","1","","1","00","S","055","0","","1","01","02","15","03","PA","1","01","1FADP3K22DL","P4H"
"","04","N","2018021791","3","1","","1","12","Y","KIA","2013","01","1","","1","00","S","030","0","","2","01","02","01","01","PA","1","01","5XXGN4A78DG","P4D"
"","40","N","2018024076","3","1","","1","11","Y","DODG","2010","01","1","","1","00","S","999","0","","2","01","05","01","06","PA","1","07","2D4RN4DE1AR","TSV"
"","51","N","2018022530","3","1","","1","10","Y","CHEV","2013","02","1","","4","00","S","065","0","","1","01","03","16","03","OH","1","04","1GCNCPEX2DZ","TPK"
"","15","N","2018023274","3","1","","3","12","Y","DODG","2009","01","1","","1","00","W","035","","","2","01","03","01","01","PA","2","07","3D4GG57V59T","T4W"
"","04","N","2018023750","3","1","","1","06","Y","BMW","2009","02","1","","1","00","S","020","0","","2","01","12","01","03","PA","2","01","WBAPK53549A","P4D"
"","04","N","2018022566","3","1","","1","12","Y","CHEV","2017","01","2","","1","00","W","050","0","","1","01","01","01","03","PA","1","01","1G1ZB5ST0HF","P4D"
"","15","N","2018022690","3","1","","1","03","Y","NISS","2013","01","1","","1","00","W","999","","","2","01","01","01","01","PA","2","06","JN8AS5MV8DW","T4W"
"","04","N","2018023688","3","1","","1","06","Y","TOYT","2011","01","1","","1","00","E","000","0","","2","01","05","03","01","PA","3","01","4T1BF3EK9BU","P4D"
"","15","N","2018021716","3","1","","1","01","Y","VOLK","2013","01","1","","4","00","S","999","0","","2","01","01","16","01","PA","2","06","WVGBV7AX0DW","T4W"
"","04","N","2018025695","3","1","","3","10","Y","SUBA","2015","01","1","","4","00","N","040","","","1","01","01","16","01","PA","1","01","4S3BNAC64F3","P4D"
"","15","N","2018027767","2","1","","1","09","Y","JEEP","2018","02","1","","4","00","N","055","0","","2","01","05","16","01","PA","3","06","1C4PJMLB4JD","T4W"
"","15","N","2018024214","1","1","","3","06","Y","TOYT","2015","01","1","","1","00","S","005","0","","3","01","12","01","06","PA","3","06","2T3RFREV7FW","T4W"
"","04","N","2018025105","3","1","","1","12","Y","FORD","2005","01","1","","3","00","W","055","0","","1","01","12","17","01","PA","1","01","1FAFP53235A","P4D"
"","","N","2018027798","9","4","","1","06","N","","","99","1","","1","00","N","999","0","","2","05","99","01","01","","2","99","",""
"","04","N","2018025469","3","2","","1","12","U","BUIC","2013","00","0","","4","00","E","999","0","","1","01","12","16","01","PA","1","01","1G4PP5SK0D4","P4D"
"","04","N","2018025485","3","1","","1","12","Y","FORD","2014","02","1","","1","00","E","999","0","","1","01","07","01","01","PA","1","01","3FA6P0D99ER","P4D"
"","04","N","2018026604","3","1","","1","12","Y","CHEV","2006","02","1","","1","00","S","025","0","","1","01","05","12","04","PA","1","01","1G1AK55F267","P4D"
"","04","N","2018024732","2","1","","3","02","Y","HOND","2010","01","1","","1","00","E","020","0","","2","01","05","01","01","PA","1","01","1HGCP3F8XAA","P4D"
"","15","N","2018021963","3","2","","1","09","Y","CADI","2005","01","0","","1","00","N","000","0","","2","03","05","06","01","PA","2","06","3GYFK66N25G","T4W"
"","51","N","2018031859","1","1","","1","12","Y","DODG","2007","02","1","","1","00","N","025","0","","1","01","03","01","03","PA","1","04","1D7HU16247J","TPK"
"","04","N","2018021444","3","1","","2","12","Y","BMW","1998","01","1","","1","00","W","025","0","","2","01","07","01","01","PA","1","01","WBADD6328WG","P4D"
"","05","N","2018004279","3","1","","1","01","Y","SUZI","2012","01","1","","1","00","S","025","0","","1","01","05","01","01","PA","1","01","JS2YB5A32C6","P4H"
"","69","Y","2018009706","1","1","","3","12","Y","CHEV","2013","02","1","","1","11","W","999","0","","1","01","06","01","01","PA","1","03","1GB6G5BG3D1","TYY"
"","15","N","2018004265","3","1","","2","12","Y","JEEP","2009","01","1","","1","00","E","999","0","","1","01","07","01","09","PA","1","06","1J8GN28K09W","T4W"
"","04","N","2018007700","3","1","","3","12","Y","MAZD","2013","01","1","","1","00","S","999","0","","1","01","05","01","09","PA","1","01","JM1BL1TG8D1","P4D"
"","04","N","2018008463","3","1","","1","10","Y","FORD","2015","01","1","","1","00","W","999","0","","1","01","05","12","09","PA","1","01","1FADP3F23FL","P4D"
"","04","N","2018004662","3","1","","1","12","Y","VOLK","2005","01","1","","3","00","N","055","0","","1","01","05","17","06","PA","1","01","WVWAD63B95P","P4D"
"","09","N","2018000644","9","4","","1","99","","JEEP","","","1","","1","00","E","999","","","1","05","07","01","01","","1","01","",""
"","04","N","2018002312","3","1","","3","12","Y","KIA","2006","01","1","","1","00","S","999","0","","1","01","99","01","01","PA","1","01","KNAFE121265","P4D"
"","04","N","2018006216","1","2","","1","12","U","CHRY","2002","","0","","1","00","U","000","0","","3","02","05","06","11","PA","3","01","2C3HD46RX2H","P4D"
"","79","Y","2018006544","2","1","","1","05","Y","FRHT","2017","02","1","","1","00","E","025","1","","2","01","03","01","06","IN","2","05","2AKJHHDR9JS",""
"","15","N","2018007136","1","1","","1","12","Y","TOYT","2017","02","2","","1","00","N","999","0","","1","01","07","12","01","PA","1","06","2T3BFREV6HW","T4W"
"","05","N","2018005304","3","1","","3","09","Y","SUZI","2008","01","1","","1","00","W","035","0","","2","01","03","01","01","PA","2","06","JS2YB413785","P4H"
"","04","N","2018006715","3","1","","3","12","Y","HYUN","2015","01","1","","1","00","S","999","0","","1","01","03","01","01","PA","1","01","5NPDH4AEXFH","P4D"
"","04","N","2018010874","3","1","","1","12","Y","BUIC","2007","02","1","","1","00","N","999","0","","1","01","05","01","03","PA","1","01","1G4HR57Y57U","P4D"
"","69","N","2018007040","3","1","","1","01","Y","TOYT","","02","1","","1","00","E","065","0","","1","01","12","01","03","PA","1","04","1FTEW1EGXJF",""
"","","N","2018018421","","","","","","","","","00","1","","","","","","","","2","31","","","","","2","","",""
"","","N","2018014042","","","","","","","","","","0","","","","","999","0","","3","01","","","","","2","","",""
"","04","N","2018056291","2","1","","2","12","Y","VOLV","2007","01","2","","1","00","S","999","0","","1","01","05","01","01","PA","1","01","YV1RS592372","P4D"
"","40","N","2018007074","3","1","","3","02","Y","CHRY","2005","01","1","","1","00","W","035","0","","1","01","07","01","01","PA","2","01","3C4FY58B65T","TSV"
