"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","04","N","2019035811","2","1","","1","12","Y","HYUN","2005","01","1","","1","00","E","999","0","","1","01","07","02","01","PA","1","01","KMHWF35H15A","P4D"
"","40","N","2019035668","3","1","","2","11","Y","HOND","2010","01","1","","1","00","W","999","0","","1","01","12","01","01","PA","2","07","5FNRL3H73AB","TSV"
"","","","2019038615","","","","","","","","","00","1","","","","","","","","2","31","","","","","2","","",""
"","40","N","2019035970","3","1","","2","11","Y","DODG","2001","01","1","","1","00","S","999","0","","1","01","01","99","01","PA","1","07","1B4GP45G71B","TSV"
"","04","N","2019042201","3","1","","1","01","Y","HOND","2009","01","1","","1","00","S","035","","","2","01","01","01","03","PA","1","01","1HGCP26759A","P4D"
"","","Y","2019117117","1","1","","1","04","N","UNKN","","09","1","","1","01","S","020","0","","1","01","03","02","07","","1","18","",""
"","04","N","2019117509","1","1","","1","12","Y","MERC","2008","01","1","","1","00","S","035","","","1","01","07","98","01","PA","1","01","3MEHM07Z18R","P4D"
"","51","N","2019036838","1","1","","2","02","Y","FORD","2017","03","1","","1","00","S","999","0","","1","01","03","14","09","AZ","1","04","1FDNF6CY2HD","TCC"
"","04","N","2019036747","3","1","","1","11","Y","VOLK","2005","01","1","","3","00","E","035","0","","1","01","05","17","01","PA","1","01","3VWPF71K55M","P4D"
"","15","N","2019039135","3","1","","1","01","Y","SUBA","2008","01","1","","1","00","N","999","0","","1","01","07","01","01","PA","1","06","4S4BP60C587","T4W"
"","51","Y","2019035913","1","1","","1","04","Y","FORD","2011","02","1","","1","00","E","015","0","","1","01","02","12","01","PA","2","05","1FDUF4GY8BE","TCB"
"","69","N","2019036570","1","1","","1","06","Y","CHEV","2004","02","1","","1","00","S","025","0","","2","01","03","01","01","PA","2","04","1GBJG31U441","TYY"
"","04","N","2019035974","3","1","","2","11","Y","CHEV","2002","01","1","","1","00","E","999","0","","2","01","09","01","01","PA","2","01","2G1WF52E829","P4D"
"","15","N","2019038170","3","1","","3","06","Y","HOND","2004","01","1","","1","00","S","999","1","","2","01","01","01","03","PA","3","06","JHLRD78894C","T4W"
