"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","04","N","2020019683","1","1","","2","06","Y","NISS","2013","01","1","","1","00","S","999","0","","3","01","07","02","03","PA","1","01","1N4AL3AP6DC","P4D"
"0","15","N","2020019966","3","1","0","1","12","Y","JEEP","2010","02","1","12","3","00","N","999","0","4","1","01","02","17","99","PA","1","06","1J4PR4GK4AC","T4W"
"","41","N","2020022217","3","1","","1","11","Y","CHEV","2011","02","1","","4","49","N","045","0","","1","01","02","16","03","PA","1","07","1GCWGFCA6B1","TCG"
"","15","N","2020023113","1","1","","1","10","Y","NISS","2014","01","2","","1","00","W","999","0","","1","01","07","01","01","PA","2","06","5N1AR2MM9EC","T4W"
"","15","N","2020022088","1","1","","1","01","Y","NISS","2013","01","4","","1","00","S","999","0","","1","01","01","10","01","PA","1","01","5N1AR2MM8DC","T4W"
"","51","Y","2020022732","1","1","","1","11","Y","FRHT","2017","02","1","","1","00","N","035","","","1","01","03","15","06","IN","1","05","3ALMGNDR2HD","TCC"
"","51","N","2020022788","9","1","","1","12","Y","RAM","2014","01","1","","1","00","W","999","0","","1","01","12","12","01","PA","2","04","3C6TR5CT1EG","TCW"
"","04","N","2020000785","3","1","","1","01","Y","CHEV","2017","01","1","","1","00","E","999","0","","1","01","05","01","01","PA","1","01","3G1BE5SM5HS","P4D"
"","69","N","2020021746","3","1","","1","06","Y","FORD","2019","01","2","","1","00","W","000","0","","2","01","01","03","09","GA","2","01","MAJ6S3GL9KC","T"
"","15","N","2020015410","2","2","","1","11","Y","FORD","2013","","0","","1","00","","000","0","","2","02","07","06","09","PA","2","01","1FMCU0F7XDU","T4W"
"","69","N","2020000069","3","1","","3","12","Y","SUBA","2018","01","1","","3","00","W","050","0","","1","01","04","17","03","PA","1","01","JF2SJABC4JH","T"
"","69","N","2020025260","3","1","","1","12","Y","TOYT","2018","01","5","","1","00","E","999","0","","2","01","09","01","01","PA","1","06","2T3BFREV4JW","T"
"","69","N","2020018113","3","1","","1","01","Y","JEEP","2017","01","1","","1","00","S","999","0","","1","01","12","01","03","PA","1","01","3C4NJDDB2HT","T"
"","04","N","2020022510","3","1","","3","00","Y","BUIC","2008","01","1","","1","00","S","025","0","","1","01","01","01","01","PA","0","01","1G4HD57288U","P4D"
"","51","Y","2020021746","1","1","","1","12","Y","FRHT","2016","02","1","","1","00","W","040","0","","1","01","03","01","09","TX","1","05","1FVACXDT0GH","TCC"
"","15","N","2020024205","3","1","","1","10","Y","TOYT","2016","01","2","","1","00","N","035","0","","2","01","12","01","01","PA","1","06","JTMJFREV2GD","T4W"
"","04","N","2020027535","3","2","","2","08","N","LEXS","2013","","0","","1","00","","000","0","","2","02","07","06","01","PA","3","01","JTHCF5C28D5","P4D"
"","04","N","2020017625","3","2","","1","06","Y","CHEV","2010","","0","","1","00","S","000","0","","2","02","07","06","09","PA","2","01","1G1AB5F55A7","P4D"
"","09","N","2020016685","1","2","","1","06","Y","PONT","1965","","0","","","00","","000","","","6","02","01","06","09","PA","0","01","237375Z1286",""
"","40","N","2020010289","3","1","","1","12","Y","FORD","2006","01","1","","1","00","E","999","0","","1","01","07","01","01","PA","1","01","1FMRE11L86D","TSV"
"","15","N","2020018158","2","1","","1","11","Y","NISS","2015","01","1","","1","00","S","999","0","","2","01","05","01","06","PA","1","01","5N1AZ2MH3FN","T4W"
"","04","N","2020017572","3","3","","2","12","N","CHEV","2003","02","3","","1","00","N","075","","","1","01","01","01","01","PA","1","01","1G1JC52F137","P4D"
"","15","N","2020014903","1","2","","1","09","Y","NISS","2009","","0","","1","00","","000","0","","4","02","03","06","11","PA","2","01","JN8AZ18W09W","T4W"
"","","N","2020016685","2","","","1","12","","","","","0","","1","00","E","","","","2","21","","01","98","","1","24","",""
"","15","N","2020010780","2","1","","1","12","Y","BUIC","2015","01","1","","1","00","W","005","","","1","01","08","01","01","PA","1","06","5GAKVBKD0FJ","T4W"
"","15","N","2020005151","0","1","","1","06","Y","DODG","2007","02","2","","1","00","N","999","0","","2","01","05","02","02","PA","2","06","1D8GU58K97W","T4W"
"","69","N","2020018683","3","1","","1","11","Y","HOND","2019","02","2","","1","00","W","999","0","","2","01","05","01","01","DE","2","06","3CZRU6H38KG","T"
"","51","N","2020017395","3","1","","5","05","Y","FORD","2017","01","1","","1","00","W","999","0","","2","01","01","01","01","PA","2","04","1FTEX1EP1HF","T4C"
"","40","N","2020009187","1","2","","3","07","U","NISS","2008","","0","","1","46","","000","0","","2","02","03","06","01","PA","2","07","5N1BV28U28N","TSV"
"","15","N","2020003312","0","1","","1","01","Y","JEEP","2017","01","1","","1","00","N","035","0","","1","01","03","15","01","PA","1","06","1C4NJDEB0HD","T4W"
"","69","N","2020014805","1","2","","1","03","Y","DODG","2018","","0","","","00","","000","0","","3","02","07","06","98","PA","2","01","3C4PDDGG0JT","T"
"","69","N","2020017625","1","2","","1","06","Y","FORD","2018","","0","","1","00","S","000","0","","3","02","12","06","09","GA","2","06","1FMCU9GD5JU","T"
"","15","N","2020017587","1","1","","1","06","Y","SUBA","2014","01","1","","1","00","N","000","0","","2","01","08","03","01","OH","1","06","4S4BRBCC1E3","T4W"
"","09","N","2020016715","3","1","","1","01","Y","FORD","2018","02","2","","1","00","S","999","0","","1","01","07","01","06","PA","1","01","3FADP4BJ9JM","P"
"","51","N","2020009902","3","1","","1","11","Y","FORD","2000","01","1","","1","00","N","050","","","1","01","04","01","03","PA","1","04","1FTZR15V7YT","TPC"
"","51","N","2020017392","3","1","","1","09","Y","CHEV","2007","01","1","","1","00","W","999","0","","2","01","02","18","06","PA","2","04","1GCEK19C87E","T4C"
"","15","N","2020017394","2","1","","1","11","Y","LINC","2010","01","1","","1","00","E","005","0","","1","01","03","18","09","PA","1","06","2LMHJ5AT1AB","T4W"
"","51","N","2020010501","3","1","","1","10","Y","CHEV","2005","02","1","","4","00","E","999","0","","1","01","01","16","01","PA","3","01","1GCEK14X95Z","TPK"
"","15","N","2020017468","2","1","","1","03","Y","HYUN","2016","02","2","","1","00","N","055","","","4","01","05","01","06","PA","2","06","KM8J3CA23GU","T4W"
"","15","N","2020023805","1","1","","1","02","Y","VOLV","2012","01","2","","1","00","E","999","0","","1","01","05","01","01","PA","2","06","YV4952CZXC1","T4W"
"","04","N","2020022517","2","1","","1","12","Y","HYUN","2015","01","1","","4","00","W","015","0","","2","01","01","15","14","PA","1","01","5NPE24AF3FH","P4D"
"","04","N","2020014860","0","1","","3","11","Y","HOND","2009","01","1","","1","00","E","999","0","","1","01","12","12","01","PA","1","01","1HGFA16599L","P4D"
"","01","N","2020011982","1","1","","2","11","Y","MITS","2011","02","1","","1","00","N","999","0","","1","01","05","10","07","PA","1","01","4A37L5EF0BE","PCV"
"","04","N","2020024334","3","1","","1","10","Y","HYUN","2011","01","2","","1","00","E","999","0","","2","01","05","12","06","PA","2","01","5NPEB4AC7BH","P4D"
"","04","N","2020024693","3","1","","2","11","Y","HYUN","2012","01","1","","1","00","N","999","0","","2","01","07","01","01","PA","2","01","5NPEB4AC3CH","P4D"
"","51","Y","2020014398","2","1","","1","10","Y","FRHT","2007","08","1","","3","08","W","020","0","","2","01","03","17","01","PA","2","05","1FVHC7CV67H","TCC"
"","02","N","2020025266","3","2","","1","06","Y","CHEV","2003","","0","","1","00","","000","0","","2","02","04","06","01","PA","3","01","1G1JC12FX37","PCP"
"","04","N","2020017359","3","1","","1","12","Y","HYUN","2015","01","3","","1","00","N","030","0","","1","01","03","01","01","PA","1","01","5NPE24AFXFH","P4D"
"","04","N","2020023904","3","1","","1","11","Y","CHEV","2015","01","1","","1","00","E","010","0","","1","01","03","01","01","PA","1","01","1G1PC5SB9F7","P4D"
"","09","N","2020023729","3","1","","1","02","Y","CHEV","2019","03","1","","1","00","S","999","","","1","01","07","01","01","OK","2","01","1G1ZD5ST5KF","P"
"","51","N","2020017082","1","1","","1","06","U","RAM","2014","01","1","","1","00","E","999","","","2","01","02","01","03","PA","2","04","1C6RR7GTXES","TCW"
"","04","N","2020015612","3","1","","1","01","Y","TOYT","1998","01","1","","1","00","N","040","0","","1","01","08","01","03","PA","1","01","4T1BG22K0WU","P4D"
"","09","N","2020024245","1","1","","1","11","Y","HOND","2019","01","2","","1","00","W","999","","","1","01","12","01","01","PA","1","01","1HGCV1F44KA","P"
"","15","N","2020012096","2","1","","1","12","Y","JEEP","2003","01","1","","1","00","S","999","0","","2","01","05","01","01","PA","2","06","1J4GW48S23C","T4W"
"","69","N","2020016950","1","1","","1","06","Y","NISS","2017","01","1","","1","00","E","020","0","","1","01","05","01","01","PA","2","01","5N1AT2MT7HC","T"
"","09","N","2020025303","3","1","","1","01","Y","NISS","2019","01","1","","1","00","W","999","","","1","01","05","12","01","PA","1","06","JN1BJ1CR7KW","P"
"","04","N","2020015849","1","1","","1","06","Y","TOYT","2007","02","1","","1","00","W","000","0","","2","01","08","03","09","OH","2","01","4T1BE46K77U","P4D"
"","15","N","2020025286","1","2","","1","12","Y","BMW","2014","","0","","1","00","","000","0","","4","02","05","06","11","PA","3","06","5UXFG8C5XEL","T4W"
"","15","N","2020016503","3","1","","2","13","Y","FORD","2006","02","2","","1","00","E","999","0","","1","01","01","01","01","PA","1","01","1FMZK04196G","T4W"
"","09","N","2020023483","3","1","","2","12","U","KIA","2019","01","1","","1","00","E","035","0","","1","01","02","01","12","PA","1","01","5XXGT4L34KG","P"
"","15","N","2020012411","3","1","","1","07","Y","TOYT","2015","01","3","","1","00","N","999","0","","1","01","05","10","01","PA","1","06","JTEBU5JR7F5","T4W"
"","01","N","2020016855","3","1","","3","12","Y","CHRY","2012","02","1","","1","00","E","999","0","","1","01","03","18","03","PA","1","01","1C3BCBEB7CN","PCV"
"","51","N","2020023241","2","1","","1","12","Y","DODG","2007","02","1","","1","00","W","999","0","","1","01","12","01","06","PA","1","04","1D7HU16N57J","TPK"
"","04","N","2020014697","3","3","","1","11","Y","FORD","2014","02","1","","1","00","W","999","0","","1","01","05","12","04","PA","1","01","3FADP4BJ6EM","P4D"
"","09","N","2020014989","2","1","","1","11","Y","CHEV","2017","02","1","","1","00","W","030","0","","1","01","07","01","03","PA","2","01","1G1FX6S02H4","P"
"","15","N","2020025987","3","1","","3","06","Y","FORD","2013","01","1","","1","00","W","030","","","2","01","03","02","03","PA","3","06","1FMCU9H92DU","T4W"
"","15","N","2020025647","3","1","","1","11","Y","SUBA","2014","01","1","","4","00","W","999","0","","1","01","07","16","07","PA","1","06","JF2SJAPC8EH","T4W"
"","49","Y","2020026167","3","1","","3","12","Y","MERZ","2019","02","1","","1","49","U","999","0","","1","01","01","01","01","MD","1","07","",""
